,link,headline,summary,date
0,https://www.nytimes.com/video/arts/television/100000001683070/excerpt-3.html,Excerpt: '3',The new CBS dating show begins on Thursday.,
2126,http://query.nytimes.com/gst/fullpage.html?res=9501E0D9103AF932A15751C1A9679D8B63,What's On Today,"8 P.M. (CBS) A HOME FOR THE HOLIDAYS WITH MARTINA McBRIDE Ms. McBride, above, hosts this annual concert dedicated to promoting adoption and telling uplifting stories about children who found families. Between musical performances from Mary J. Blige, Justin Bieber, Gavin DeGraw and others, families that have adopted discuss the experience. One story is from the Hendersons of Helena, Ala., who were inspired to adopt their daughter Brittney after watching a previous presentation of ''A Home for the Holidays.'' Denise Richards, who adopted her daughter Eloise, will also reflect on her decision. 4 P.M. (Showtime2) DORIAN GRAY (2009) Claiming his inheritance, Dorian Gray (Ben Barnes) moves into a home in Victorian London, where he meets the aristocrat and dissolute hedonist Lord Henry Wotton (Colin Firth), who corrupts the newcomer into joining his lifestyle of wild abandon. To keep the good times from stopping, Dorian wishes to preserve his youthful looks forever, so he makes a deal with the devil: for the price of his soul he will show no signs of aging, but a painted portrait of him will reflect the toll of time and a life of indulgence. The portrait becomes as grotesque as his excesses, and when Dorian falls in love with a woman, he must keep the painting a secret. The movie is based on a novel by Oscar Wilde.",
2124,http://query.nytimes.com/gst/fullpage.html?res=9505E3D7153EF935A1575AC0A9679D8B63,Twitter's 'Amazing Race' Assist,"Just how attuned are television producers these days to chatter about their shows on Twitter? So much so that they watched in awe, half a world away, as two Twitter users saved a team on ''The Amazing Race'' from being kicked off the CBS show. The 19th season of the race-around-the-world reality show had just started taping in June in Southern California when one of the contestants, Kaylani Paliotta, unknowingly left her passport at a gas station. The camera crew with Ms. Paliotta and her teammate, Lisa Tilley, noticed what had been left behind, but could not tell them. Instead, they sent word to producers at the next stop, Los Angeles International Airport, to expect a premature end to the team's race.",
2119,http://query.nytimes.com/gst/fullpage.html?res=9F02E7DB103FF935A35752C0A9649D8B63,What's On Today,"8 P.M. (ABC) EXTREME MAKEOVER: HOME EDITION The series travels to Fayette County, Iowa, to surprise Audrey Gibbs, who, seven months after the death of her husband, had a brain aneurysm that left her legally blind. Doctors cannot predict whether she will lose her sight completely. Unable to continue her work as a cosmetologist, she has become a massage therapist, which doesn't require sight, the better to support her six children. In this, the penultimate episode, Ty Pennington (above, foreground, with Ms. Gibbs) and his crew remodel the family's farmhouse, which has no working toilet and a caved-in ceiling. The musician Bret Michaels lends a hand. 7:15 A.M. (Sho2) THE LAST PLAY AT SHEA (2010) The histories of Shea Stadium, the Mets, Billy Joel (below) and New York City itself across four and a half decades intersect in this documentary from Paul Crowder, which focuses on Mr. Joel's concerts on July 16 and July 18, 2008 -- the last performances given in the stadium, which was torn down the next year. ''For the July 18 concert,'' Stephen Holden wrote in The New York Times, Paul McCartney ''miraculously appeared, having been whisked through customs at Kennedy International Airport after a flight from London that had been allowed to land early. He was sped to the stadium by a motorcade in 11 minutes and driven onto the field in time to perform by Pete Flynn, the dedicated groundskeeper who had driven the Beatles to the same stage 43 years earlier.'' Mr. Holden added: '' 'If it weren't for the Beatles,' Mr. Joel declares, 'I wouldn't do what I do.' Call it perfect symmetry. The final number, 'Let It Be,' rings as a sweet valedictory to all the struggle, the teamwork and the glory captured in this wonderful film.'' In the film ''The Love We Make'' (2011), at 11 on Showtime, Albert Maysles, Bradley Kaplan and Ian Markiewicz capture Mr. McCartney's experiences in New York City after the Sept. 11, 2001, attacks and his performance the next month with Elton John, Mr. Joel and David Bowie in the ''Concert for New York City'' at Madison Square Garden. Mr. McCartney had been on the runway at Kennedy when the attacks occurred.",
2102,http://query.nytimes.com/gst/fullpage.html?res=9A00E2D7163FF93BA25752C0A9679D8B63,RECORD RATINGS,"The Jets' 28-21 win over the New England Patriots averaged 43.5 million viewers, which CBS projected as the most ever to watch a divisional playoff game based on records going back to 1987. The peak viewership of 52.3 million occurred from 7:30 to 7:48 p.m. The second-most-viewed game of the weekend was Pittsburgh's 31-24 victory over Baltimore on Saturday, also on CBS, which attracted an average of 34 million viewers. RICHARD SANDOMIR",
2096,http://query.nytimes.com/gst/fullpage.html?res=9402E4DF1139F93BA35750C0A9679D8B63,Sheen Loses His Role In TV Show,"8:51 p.m. | Updated Throughout his recent rants about CBS, Warner Brothers and his own drug use, Charlie Sheen insisted that he was ready to return to work on the hit sitcom ''Two and a Half Men.'' On Monday, Warner Brothers disagreed, firing Mr. Sheen from the show, claiming the actor's ''statements, conduct and condition prevented him from performing his essential duties.''",
2092,http://query.nytimes.com/gst/fullpage.html?res=9505E2DB1238F934A15752C0A9649D8B63,What's On Today,"9 P.M. (13); 10 P.M. (49) TONY BENNETT: DUETS II Soon after his 85th birthday on Aug. 3, Mr. Bennett released ''Duets II,'' the follow-up to his Grammy-winning album ''Duets: An American Classic,'' made in honor of his 80th. ''Duets II'' started atop the Billboard 200 chart, making Mr. Bennett the oldest artist to reach No. 1. This ''Great Performances'' presentation captures recording sessions in Los Angeles, London, New York, Nashville and at the home of Andrea Bocelli in Italy. It also features performances including ''Body and Soul,'' with Amy Winehouse, in what would be her last recorded track; ''The Lady Is a Tramp,'' with Lady Gaga (above, with Mr. Bennett); ''Speak Low,'' with Norah Jones; ''The Way You Look Tonight,'' with Faith Hill; ''It Had to Be You,'' with Carrie Underwood; and ''On the Sunny Side of the Street,'' with Willie Nelson. ''Duets II'' has been nominated for three Grammy Awards, including for best pop duo/group. 7:15 A.M. (IFC) LITTLE MISS SUNSHINE (2006) Abigail Breslin, right, received an Academy Award nomination for her portrayal of the unlikely preteen princess Olive Hoover in this comedy about a family of misfits determined to get a 7-year-old to a beauty pageant. Alan Arkin won an Oscar for best supporting actor as the heroin-snorting grandfather who helps put Olive's talent routine over the top. Greg Kinnear and Toni Collette play the parents driving the ravaged family and its equally dilapidated Volkswagen bus. Steve Carell portrays Olive's suicidal gay uncle, and Paul Dano is the Hoovers' teenage son, who has decided to keep his mouth shut about the situation. Writing in The New York Times, Manohla Dargis called the film ''a tale about genuine faith and manufactured glory that unwinds in the American Southwest, but more rightly takes place at the terminus of the American dream, where families are one bad break away from bankruptcy.''",
2089,http://query.nytimes.com/gst/fullpage.html?res=9B01EEDA113DF931A15756C0A9679D8B63,"OFF THE AIR, AND ON | MAY 15-21","THE NEWS After 45 years as the spirited host of his annual Labor Day telethon to benefit the Muscular Dystrophy Association, Jerry Lewis, 85, said the 2011 broadcast will be his last. BEHIND THE NEWS Starting on a single New York station in 1966, Mr. Lewis built the event into a high-wattage national charity juggernaut lasting 22 often maudlin hours and raising more than $1 billion over the years. But its hold on the spotlight has ebbed in recent decades as charity megaconcerts, pledge weeks and celebrity appeals have proliferated; the show is being shortened and reformatted.",
2079,http://query.nytimes.com/gst/fullpage.html?res=9401E7DE1E38F93AA15752C0A9649D8B63,What's On Sunday,"9 P.M. (ABC) A SMILE AS BIG AS THE MOON (2012) John Corbett, above, stars as Mike, a high school football coach and special-education teacher who takes a class of disabled students to NASA's Space Camp, in this Hallmark Hall of Fame presentation, based on the memoir by Mike Kersjes. Mike's inspiration: Ben (Peter ten Brink), a boy with Down syndrome who dreams of becoming an astronaut. Jessy Schram plays Robynn McKinney, a fellow teacher who helps Mike buck the opposition of school administrators. And Cynthia Watros is Dr. Deborah Barnhart, the Space Camp official who is skeptical that Mike's class will be able to hold its own with some of the brightest science students from across the country. The cast includes young actors with Down syndrome, autism and learning disabilities. 9 A.M. (CNN) STATE OF THE UNION WITH CANDY CROWLEY Ms. Crowley interviews the Republican presidential candidate Ron Paul. Rick Scott, the Republican governor of Florida, offers a preview of Tuesday's primary. Carlos Gutierrez, a former commerce secretary, and Antonio Villaraigosa, the mayor of Los Angeles, talk about the Latino vote. And Senator Mitch McConnell, Republican of Kentucky, responds to the State of the Union address.",
2134,http://query.nytimes.com/gst/fullpage.html?res=9804E0DA1230F93AA25752C0A9649D8B63,What's On Today,"9 A.M. (MoreMax) GIRL WITH A PEARL EARRING (2003) This feature directorial debut from Peter Webber, based on the novel by Tracy Chevalier, imagines the life of Griet (Scarlett Johansson, right), a teenage maid in the Netherlands in the 1660s who becomes the muse for Johannes Vermeer (Colin Firth) and is immortalized in one of his most famous paintings. ''Ms. Johansson is photographed so that her skin is as opalescent as her earring, but the movie is opaque,'' Elvis Mitchell wrote in The New York Times. ''It is an earnest, obvious melodrama with no soul, filled with the longing silences that come after a sigh.'' Yet, he added, the film is ''a dexterous and absorbing visual re-creation of the lighting and the look that Vermeer achieved in his work.'' The movie received Oscar nominations for art direction, set decoration, cinematography and costume design. 9:15 A.M. (HBO2) CRIMES AND MISDEMEANORS (1989) When the mistress (Anjelica Huston) of Judah Rosenthal (Martin Landau, in an Oscar-nominated performance), a Manhattan ophthalmologist, threatens to go public with their affair and his unethical financial dealings, he hires his mobster brother (Jerry Orbach) to kill her in this movie from Woody Allen, who received best director and best screenplay nominations. Mr. Allen also plays Cliff Stern, a married documentarian infatuated by another woman (Mia Farrow). Sam Waterston is Judah's best friend, a rabbi; Alan Alda is a successful television producer and Cliff's brother-in-law. ''The wonder of 'Crimes and Misdemeanors' is the facility with which Mr. Allen deals with so many interlocking stories of so many differing tones and voices,'' Vincent Canby wrote in The Times. ''The film cuts back and forth between parallel incidents and between present and past with the effortlessness of a hip, contemporary Aesop.''",
2077,http://query.nytimes.com/gst/fullpage.html?res=9900E4D9163AF934A15755C0A9649D8B63,"At News Corp., A Plan to Sever Publishing Arm","After years of defending its financially underperforming newspapers, News Corporation is now in talks to break up the company and sever its publishing assets, like The Wall Street Journal, The Times of London and The New York Post, from its lucrative entertainment units. The spinoff proposal will be reviewed by the News Corporation board on Wednesday and a decision to split up the company could be made as early as Thursday.",
2065,http://query.nytimes.com/gst/fullpage.html?res=980CE0D71231F93AA15752C0A9679D8B63,''Two and a Half Men'' Goes on Hiatus,"8:52 p.m. | Updated CBS and Warner Brothers Television said on Friday that their sitcom ''Two and a Half Men'' would take a production hiatus, citing the decision of co-star Charlie Sheen to enter a rehabilitation facility. In a brief statement issued by the network and the studio, as well as Chuck Lorre, the comedy's creator and executive producer, they said, ''We are profoundly concerned for his health and well-being, and support his decision.''",
2060,http://query.nytimes.com/gst/fullpage.html?res=9E06E4DF1F31F93BA15751C0A9649D8B63,"As Gay Marriage Gains Ground in Nation, New Hampshire May Revoke Its Law","As same-sex marriage supporters celebrate victories in Washington and Maryland this month, they are keeping a wary eye on New Hampshire, where lawmakers may soon vote to repeal the state's two-year-old law allowing gay couples to wed. A repeal bill appears to have a good chance of passing in the State House and Senate, which are both controlled by Republicans. The bigger question is whether they can muster enough votes to overcome a promised veto from Gov. John Lynch, a Democrat.",
2053,http://query.nytimes.com/gst/fullpage.html?res=9C00E1D9103AF931A15750C0A9679D8B63,More Big Names Join Philharmonic's 'Company',"After the month that Jon Cryer just lived through, you'd think he'd had his fill of toxic bachelors. Instead, Mr. Cryer will spend some time away from ''Two and a Half Men,'' the CBS comedy on which he stars (starred?) with Charlie Sheen, in a semistaged production of ''Company'' for the New York Philharmonic. Mr. Cryer will play the role of David, a pot-puffing chum of the perennially single protagonist, Robert, who will be portrayed by his CBS colleague Neil Patrick Harris, representatives for the Philharmonic said on Monday. Also joining these ''Company'' performances, which will run from April 7 through 9, are Christina Hendricks, an Emmy Award nominee for ''Mad Men,'' who will be trading in her role as a tough-as-nails office manager to play the airhead flight attendant, April; Katie Finneran, a Tony Award-winner for ''Promises, Promises,'' who will play the motor-mouthed bride-to-be, Amy; and Craig Bierko (''The Music Man'') as Peter, one of Robert's amorous married friends. The cast will be rounded out by Aaron Lazar as Paul; Jill Paice (''The 39 Steps'') as Susan; Jennifer Laura Thompson (''Lend Me a Tenor'') as Jenny; and Chryssie Whitehead (''A Chorus Line'') as Kathy.",
2048,http://query.nytimes.com/gst/fullpage.html?res=950DEED81E3BF931A35751C0A9649D8B63,Analysis: Comebacks and Consequences on Signing Day,"National signing day has turned into a made-for-television affair, with recruits selecting their universities' caps before crowds of friends and family members and an audience at home. The 2012 version of this annual rite yielded a few additional themes. The strong recruiting classes signed by Ohio State and Miami on Wednesday showed that prospects are willing to overlook N.C.A.A. sanctions (or the threat of penalties, in Miami's case) if the coach can sell the program.",
2045,http://query.nytimes.com/gst/fullpage.html?res=9D03E4DF1639F93BA35753C1A9679D8B63,GAMES TO WATCH,"NO. 3 OKLAHOMA VS. NO. 11 TEXAS IN DALLAS Noon Eastern, ABC",
2037,http://query.nytimes.com/gst/fullpage.html?res=9904E7D81430F93BA25752C0A9649D8B63,Girlhood Memories of Another Ship Turned on Its Side,"First thing Saturday, Pierette Domenica Simpson's boyfriend called and said, ''Go online. You'll be interested.'' She checked the headlines. Something about an Italian ocean liner in trouble. The way the ship was listing, the report that it was taking on water, the light from the cabins reflecting in the water, the passengers' struggle to clamber into lifeboats - everything seemed so familiar. ''I thought, 'How can this be? It's 56 years later,' '' Ms. Simpson said.",
2031,http://query.nytimes.com/gst/fullpage.html?res=9C03E2DF153FF932A05750C0A9649D8B63,"After a Short and Stormy Tenure as a Current TV Anchor, Olbermann Is Fired","10:06 p.m. | Updated For nearly a year now, Al Gore and Joel Hyatt have been building their liberal cable news channel, Current TV, with the mercurial television anchorman Keith Olbermann at its center. This week, the center collapsed.",
2023,http://query.nytimes.com/gst/fullpage.html?res=9B01E2DE1630F933A2575BC0A9679D8B63,A Foreign Correspondent in Nazi Germany Who Interpreted It for the World,THE LONG NIGHT William L. Shirer and 'The Rise and Fall of the Third Reich',
2075,http://query.nytimes.com/gst/fullpage.html?res=9B06E2D7153DF930A25756C0A9649D8B63,"Romney Assures Evangelicals That Their Values Are His, Too","LYNCHBURG, Va. -- Mitt Romney traveled to Liberty University, the spiritual heart of the conservative movement, on Saturday, seeking to quell concerns about him among evangelical voters by offering a forceful defense of faith and Christian values in public life. At a graduation speech at the college, founded by the evangelical leader Jerry Falwell, Mr. Romney made the case that he is bound theologically and politically to the same belief and value system as Christian conservatives, though he never explicitly mentioned his Mormon faith.",
2135,http://query.nytimes.com/gst/fullpage.html?res=9F07EFDD123AF936A3575AC0A9679D8B63,"For Tennis Channel, Lost Viewers","Cablevision and Verizon FiOS customers abruptly lost their access to Tennis Channel on Sunday midway through the United States Open. The dispute revolves around a new contract between Tennis Channel and the National Cable Television Cooperative, a consortium of cable operators that Cablevision and Verizon belong to. The deal, which went into effect after midnight, requires its members to place Tennis Channel on a broad digital basic level - or not at all.",
2137,http://query.nytimes.com/gst/fullpage.html?res=9C0DE3DD1F3CF930A35752C0A9649D8B63,What's On Today,"8:30 P.M. (ABC) WORK IT Lee Standish (Ben Koldyke), a family guy, and his friend Angel Ortiz (Amaury Nolasco), a ladies' man, lose their jobs at Pontiac when the company folds in this new series. But then Lee discovers that a drug company is seeking female sales representatives, so he attends an interview in heels, a skirt and makeup. When he lands a job, he takes Angel, also in drag, to this workplace of women, where their colleagues seem to accept them. Everyone, that is, but Grace (Rebecca Mader), a manager, who knows something isn't right. It doesn't help when Angel falls for his boss, Vanessa (Rochelle Aytes). Or that Lee can't disclose his feminine subterfuge to his wife, Connie (Beth Lacke), or their daughter, Kat (Hannah Sullivan). But they sure do like this newfangled Mr. Sensitivity. (Above, from left, Mr. Koldyke, Mr. Nolasco, Kate Reinders, Ms. Mader and Kirstin Eggers.) In the premiere of ''Celebrity Wife Swap,'' at 9, Steffanie Sampson, engaged to the drug- and anger-addled actor Gary Busey, trades lives for 10 days with Gayle Haggard, married to the Rev. Ted Haggard, who in 2006 resigned as senior pastor from his New Life Church and as president of the National Association of Evangelicals after admitting to using crystal meth and having sex with a masseur. And in the winter premiere of ''Body of Proof,'' at 10, Dr. Megan Hunt (Dana Delany) scrutinizes the details in the case of a bride who plummeted to her death on her wedding day. 8 P.M. (NBC) THE BIGGEST LOSER In this Season 13 premiere, 10 pairs of contestants show up at the ranch and discover that not only will they be split from their loved ones, but they must also compete against them. Bob Harper and Dolvett Quince return as the trainers, guiding the competitors toward a $250,000 grand prize. Alison Sweeney hosts.",
