,link,headline,summary,date
342,https://www.nytimes.com/Link.asp?I=LS000087177674,"Paid Notice: Deaths Henningsen, Victor W.","HENNINGSEN--Victor W. , Jr, Sound Shore Health System mourns the passing of our dear friend and colleague, Victor W. Henningsen, Jr. Together with his family, Vic was a steadfast supporter of Sound Shore Medical Center of Westchester and a devoted member of the Board of Governors, serving from 1985 to the present. During this time he was Chairman of the Board from 1991-1994. His commitment to providing our community with the highest level of health care services by furthering the mission of the Medical Center will be forever remembered at Sound Shore. We will miss his guidance and support. Our deepest sympathies are extended to his wife Mayde and their children and grandchildren. Mauro C. Romita, Chairman John R. Spicer, President and CEO $(6$)HENNINGSEN--Victor William Jr., of Pelham Manor, NY, died March 26, 2007. Born May 19, 1924, he was a lifelong resident of the town of Pelham. He leaves his beloved wife of 58 years, Mayde, his children and their spouses: Vic and Susan, of Andover, MA; Kit and Caroline, of Stony Creek, CT; Mary and Chris, of Pelham Manor; Tim and Anne, of Wexford, PA; and eight grandchildren. Also survived by his brother, John T. Henningsen, of Rye, and sister, Ann H. Kneisel, of Boston, MA. Educated at Phillips Academy, the U.S. Merchant Marine Academy, and Yale. During World War II he served in the Atlantic, Mediterranean and Indian Ocean war zones as a midshipman, third and second mate in the merchant navy, finishing as Lt. (JG) USNR. He spent his entire professional career with the family firm, Henningsen Foods Inc., founded by his grandfather in 1889. Starting as an office boy and plant worker, he retired as President and CEO in 1993 and served as Chairman Emeritus until his death. He was an international leader in the poultry and egg industry as a founder and chairman of the Egg Products Association, a trustee of the Nutrition Foundation and a longtime director of the Institute of American Poultry. He received many industry honors and awards. Profoundly committed to education, he was an active volunteer for Andover, the USMMA, Yale, and Sweet Briar College, where he was past president of the Board of Trustees. A longtime trustee of the Chapel of St. Thomas More at Yale, he was also past president of the Yale Club of NYC and of the American Friends of the Bermuda Maritime Museum. He devoted much time and energy to his native town, particularly the village of Pelham Manor, serving over the years as chair of the Pelham Community Chest, member of the village Planning Board, trustee and mayor of the village of Pelham Manor, cochairman of the Friends of the Pelham Town Library, and chairman of the board of the Sound Shore Medical Center. At his death he was still active in efforts to bridge political divisions and bring people together in service to the community he loved. Memorial Mass, 11 AM, Saturday, March 31, at Our Lady of Perpetual Help, Fowler Ave, Pelham Manor, NY. Interment private. Contributions in his memory to the Friends of the Pelham Town Library, 530 Colonial Avenue, Pelham, NY, 10803; and the Sound Shore Medical Center of Westchester, 16 Guion Place, New Rochelle, NY, 10801.",
1038,http://query.nytimes.com/gst/fullpage.html?res=990DEFDC1731F937A35750C0A9619C8B63,On the Way Out But Feeling O.K.,"What's one year and 335 days between brothers? At Alcoa, where Ricardo E. Belda was a senior executive until last fall, it is nothing.",
104,http://query.nytimes.com/gst/fullpage.html?res=9E07EFD61F30F937A35757C0A9619C8B63,Mission: Acquirable? Breaking The Code,"THE merger boom has created a subplot perfect for a spy thriller: a proliferation of code names that executives and investment bankers use to disguise the parties in a potential deal. Often inspired by Greek gods, sports figures or city names, the code names turn up in early presentations in place of actual company names, which, at least in theory, are supposed to stay secret until an agreement is announced. A common approach is to substitute a word with the same first letter of each company, although deal makers sometimes get more fanciful.",
1042,http://query.nytimes.com/gst/fullpage.html?res=9405EFDF1130F930A25753C1A9609C8B63,TODAY IN BUSINESS,"SWEATSHOP CRACKDOWN -- China is planning to adopt a new law that seeks to crack down on sweatshops and protect workers' rights by giving labor unions real power for the first time since Bejing introduced market forces in the late 1970's. [Page A1.] LIFE AFTER MARTHA -- Life for Peter E. Bacanovic, the former stockbroker convicted on two charges of lying to investigators in the ImClone insider-trading case that also landed Martha Stewart in jail, has been a slow trudge through the slough of a legal and regulatory despond. Mr. Bacanovic, above, fired from his job at Merrill Lynch and banned from the securities industry, is now struggling to find a permanent job and restore some shine to his tattered health and psyche. [C1.] HARD SELL FOR M.B.A. STUDENTS -- Some companies, trying to attract M.B.A. students, are offering bonuses that decline in value or disappear unless the student accepts the job by a certain date. [C1.] INFLATION THREAT SAID TO LOWER -- Maybe the sputtering housing market is not that big of a drag on the economy after all. Falling gas prices are leaving Americans with more money to spend, and inflation has become less of a threat in recent weeks, according to a report released by the Federal Reserve. [C1.] TRASH A CHALLENGE IN IRAQ -- In Baghdad, a city where a bomb could be lurking beneath any heap of refuse, garbage collection, an occupation that pays a few dollars a day, has become one of the deadliest. [A8.] RESIGNATIONS OVER BACKDATING -- The Boston Communications Group, a provider of prepaid wireless services, said it was replacing its three top executives and that it would restate earnings after discovering backdated stock options. [C4.] THE COMMERCIAL IS THE MESSAGE -- Fireman's Fund is joining a lengthening list of marketers branching out beyond TV commercials into sponsoring programs. Advertising: Stuart Elliott. [C3.] BUSH PLEDGE ON BIO-FUELS -- At a conference to promote bio-fuels, President Bush suggested that the push to wean America from its oil addiction would be a priority of the last two years of his presidency. [C3.] DEAL ON REAL ESTATE LISTINGS -- The Federal Trade Commission said that five regional real estate listing services had agreed to treat listings from discount brokers no differently than those from full-service agents. [C3.] DELTA CHIEF TO RETIRE -- The chief executive of Delta Air Lines, Gerald Grinstein, said he planned to retire after the airline emerged from bankruptcy protection, but he declined to say who would succeed him. [C4.] STRONG QUARTER FOR COSTCO -- The Costco Wholesale Corporation said that its fourth-quarter profit edged up less than a percentage point as its revenue climbed 19 percent and that operating results were unexpectedly strong late in the quarter. [C4.] I.B.M. MOVES OPERATION TO CHINA -- I.B.M. has moved its global procurement headquarters to southern China from the suburbs of New York City to ''capitalize on emerging market opportunities.'' [C4.] RULING AGAINST WAL-MART -- Wal-Mart Stores forced employees to work through rest breaks and to put in extra hours without pay, violating Pennsylvania labor laws, a state jury found. [C6.] CHINA PROMOTES UNIONS -- Workers have set up unions at all 66 Wal-Mart outlets in China, beginning what a Chinese union official described as a wider campaign aimed at other foreign companies. [C6.] SAFEWAY MEETS ESTIMATES -- Safeway, the grocer, posted a 42 percent rise in quarterly profit, matching expectations, but its shares fell as the growth failed to surpass forecasts. [C6.] AIRBUS ON THE DEFENSIVE -- With Airbus in the deepest crisis of its 36-year history, its corporate parent, the European Aerospace Defense and Space Company, is reshuffling its management in an attempt to correct quality problems that have delayed delivery of the Airbus A380 superjumbo jet. [C1.] H.P. NAMES GENERAL COUNSEL -- Hewlett-Packard said it had named Jon Hoak, former general counsel for NCR, as its vice president and chief ethics and compliance officer, succeeding Kevin T. Hunsaker, who was ousted after his involvement in a boardroom spying inquiry was disclosed last month. [C6.] HALT TO ENERGY ACQUISITION -- Energy Partners has called off its plan to acquire the Stone Energy Corporation and said it may offer itself for sale. Shares of both companies rose on the news. [C7.] DOW HITS ANOTHER RECORD -- The Dow Jones industrial average broke through 11,900 to close at a another record high, aided by optimism over the health of corporate earnings. [C9.] HOMESTORE OFFICIAL SENTENCED -- Stuart Wolff, former chief executive of Homestore Inc., an online home-listings business, was sentenced to 15 years in prison for directing a $67 million fraud at the company. [C9.]",
1045,http://query.nytimes.com/gst/fullpage.html?res=9D01E0DA1F31F93BA25750C0A9619C8B63,"HIDING THE AFFAIR, NOT FRAUD","It was a brazen defense, and in the end the jury didn't buy it. Andrew N. Yao, who was chief executive of the former Student Finance Corporation, claimed that he did not commit fraud when he lied in federal bankruptcy court about wiring $669,000 to his mistress at the time, a former Playboy Playmate of the Month. Though he initially said the money was for maintaining his private jets, he later acknowledged that it was for his girlfriend. But he said he wasn't trying to deceive his company's creditors or the court. He said he was lying only so that his family wouldn't find out about the affair.",
1566,http://query.nytimes.com/gst/fullpage.html?res=9A0CEED6133EF936A15751C0A9619C8B63,Homegrown News,"THE notion of a 24-hour cable news channel that trains its cameras exclusively on Westchester County and the surrounding Hudson Valley probably conjures up images of live reports on the cheerleading squad at a New Rochelle high school or news-you-can-use from the latest health forum at a county senior center. In fact, News 12 Westchester, a cable news station that reaches more than 400,000 households from its headquarters high on a hill in Yonkers, where it shares a parking lot with a Bennigan's restaurant, has done softer, local stories like these in recent months. But on a Monday morning in early February, the channel's reporters and producers were facing a far more daunting news challenge: the Indian Point nuclear power plant, about 30 miles up the Hudson River in Buchanan, N.Y., had just announced ''an unusual event,'' which it described as a drop in the water levels at the intakes on the river that it uses for cooling. In response, the plant issued an emergency declaration, albeit at its lowest level of warning.",
1049,http://query.nytimes.com/gst/fullpage.html?res=9F01E6D61F31F936A25750C0A9619C8B63,The Moderns,"A FEW years ago, Douglas McGrath, the screenwriter and director of ""Emma"" and ""Infamous,"" was having lunch at Michael's with his friend Paul Blake, a producer of contemporary musicals like ""Roman Holiday"" and ""White Christmas."" The two were at one of the tables nestled in that restaurant's brightest corner, in the garden of the Rockefeller Apartments, the swankily modernist, bifurcated building whose two undulating facades erupt north onto 55th Street and south onto 54th Street, right across from the Museum of Modern Art's sculpture garden. Mr. McGrath's eyes wandered happily up and down the elegant, glassy bays and he said, as he recalled recently: ""This is a building that looks like the architect actually cared about it. I've always wanted to live here. I wonder who I'd call?"" And Mr. Blake said: ""Well, I live here. I know exactly who to call.""",
1563,http://query.nytimes.com/gst/fullpage.html?res=9A03E5DD133EF936A15751C0A9619C8B63,Homegrown News,"THE notion of a 24-hour cable news channel that trains its cameras exclusively on Westchester County and the surrounding Hudson Valley probably conjures up images of live reports on the cheerleading squad at a New Rochelle high school or news-you-can-use from the latest health forum at a county senior center. In fact, News 12 Westchester, a cable news station that reaches more than 400,000 households from its headquarters high on a hill in Yonkers, where it shares a parking lot with a Bennigan's restaurant, has done softer, local stories like these in recent months. But on a Monday morning in early February, the channel's reporters and producers were facing a far more daunting news challenge: the Indian Point nuclear power plant, about 30 miles up the Hudson River in Buchanan, N.Y., had just announced ''an unusual event,'' which it described as a drop in the water levels at the intakes on the river that it uses for cooling. In response, the plant issued an emergency declaration, albeit at its lowest level of warning.",
1578,http://query.nytimes.com/gst/fullpage.html?res=9C05E1D91530F93BA35753C1A9609C8B63,Turn On the Electric Road,"LAST summer, New York State took a page from California's playbook, using state policy to jump-start a 21st century automobile industry. Albany started a $10 million program to convert its fleet of 600 hybrid vehicles to plug-in electric vehicles and pledged to spend another $10 million to encourage gas stations to install ethanol pumps. Because companies bidding for New York's conversion business must promise to build their facilities in the state, the plan may help move New York to the vanguard of a small industry with big potential. New York's commitment, combined with Google's recent announcement that its new investment company will focus on commercializing an electric/alcohol vehicle, gives increased momentum to a technological concept that is rapidly winning supporters. In less than three years, a coalition of environmentalists, entrepreneurs and tinkerers has developed a viable strategy to reduce our dependence on oil and relieve pollution in densely populated areas like metropolitan New York.",
110,http://query.nytimes.com/gst/fullpage.html?res=950CE5DD163FF93AA35755C0A9619C8B63,F.T.C. STEPS IN,"After a decade in which grocery stores have consolidated to compete against the likes of Wal-Mart and Costco, the Federal Trade Commission on Wednesday moved to block a merger between the biggest players in the natural foods and organic sector: Whole Foods Market and Wild Oats Markets. In explaining the merger, the companies said they needed to combine forces to compete against larger operations like Wal-Mart and Kroger that are offering more and more organic and natural products.",
