,link,headline,summary,date
1239,http://query.nytimes.com/gst/fullpage.html?res=9805E0DF1039F932A25757C0A96E9C8B63,Art,ART Museums and galleries are in Manhattan unless otherwise noted. Full reviews of recent art shows: nytimes.com/art.,
135,http://query.nytimes.com/gst/fullpage.html?res=9C04E3DC143EF932A0575BC0A96E9C8B63,Nothing Can Dim Rider's Golden Glow,"McLain Ward hopped off the jet from humid Hong Kong, where he helped the United States Equestrian Team secure an Olympic gold medal, his second career team gold, and hopped onto Phillipa, the statuesque chestnut mare he rode to an unremarkable 33rd-place finish in a $7,500 Open Jumper event Tuesday afternoon under summer postcard conditions at the Hampton Classic. He did not appear perturbed by the disparity: the gold medal Olympian finishes in the middle of the pack in a small potatoes class back home in New York, where he operates Castle Hill Farm in Brewster, in Putnam County, with his father, Barney.",
440,http://query.nytimes.com/gst/fullpage.html?res=9C0CEFDE123BF932A25752C1A9619C8B63,IN OTHER WORDS,The Carcinogenic Field,
1634,http://query.nytimes.com/gst/fullpage.html?res=9F01E5DC1E3CF930A1575AC0A9619C8B63,"Laugh, Cry and Change the Channel",Dates are subject to change. Times are Eastern and Pacific. SEPTEMBER,
1235,http://query.nytimes.com/gst/fullpage.html?res=9907EEDC143CF930A15756C0A96E9C8B63,DEALBOOK EXTRA,"Stakeholder Is Undecided on Yahoo Bill Miller, above, the star portfolio manager at Legg Mason Capital Management, said he had not yet decided whether to support a dissident board slate at Yahoo backed by the investor Carl Icahn.",
553,http://query.nytimes.com/gst/fullpage.html?res=9805E1DF153AF933A15752C0A96E9C8B63,"To Predators, a Target; To Visitors, a Wonder",THE first question many people who visit the McFaul Environmental Center ask naturalists is: What is a goat doing in a pen with a two-point whitetail buck and three does?,
307,https://www.nytimes.com/Link.asp?I=LS000095886847,"Paid Notice: Deaths Wallace, John F.","WALLACE--John F. Jr., of West Hempstead on October 8, 2007. Beloved husband of Loretto T. (nee Rigney); devoted father of John F. III, Stephen J. (Jeanne), Robert S. (Maureen); cherished grandfather of Martha, Sara, Jake, Peter, Meaghan, Joseph, Mary Kate, Bobby and Erin. Reposing BarnesSorrentino Funeral Home Inc., 539 Hempstead Ave., West Hempstead (1 mile North Exit 17N SS Parkway) on Thursday and Friday, 2-4 and 7-9pm. Mass of Christian Burial, St. Thomas The Apostle R.C. Church, West Hempstead on Saturday at 10:30am. Interment Holy Rood Cemetery, Westbury. In lieu of flowers donations may be made to John F. Wallace Jr. Scholarship Fund, care of Fordham University, 888 7th Ave., NY, NY 10019, attention: Keith Norton.",
157,http://query.nytimes.com/gst/fullpage.html?res=9E04E7D9103CF931A35751C1A9619C8B63,You Should Be in Pictures,"You don't have to be a megacollector to commission a portrait, but it helps. ''I wouldn't do one unless the person really interests me,'' says Marilyn Minter, who recently painted Stephanie Seymour. Other prominent artists, like Francesco Clemente, also pick and choose their subjects. For the rest of us, there's the Manhattan-based company Portraits Inc., which has 130 artists poised to immortalize you (or your pet) in any medium. So what is the price of vanity? Francesco Clemente",
158,http://query.nytimes.com/gst/fullpage.html?res=9E06E4D9103AF935A25757C0A96E9C8B63,"Paid Notice: Deaths LODERHOSE, RICHARD E","LODERHOSE--Richard E. Born in Brooklyn, New York, August 16, 1925, he passed peacefully on April 10, 2008, in Tampa, Florida. He attended Richmond Hill High School and the University of Rochester as a Naval cadet. He served in the U.S. Navy during World War Two as a Specialist for Welfare and Recreation and was the organist for all chapel activities at the U.S. Naval Base in Little Creek, Maryland. Subsequent to his naval service he was employed in the family business in New York City, then known as the United Paste and Glue Company. Along with his father, Herman C. Loderhose, he built United into the national adhesive manufacturer called United Resin Products, Inc. He was a gifted CEO, master salesman, and innovator in packaging patents, coatings and adhesives. In 1997, Mr. Loderhose sold United to the Henkel Corporation and remained with Henkel for the next four years as a senior director of the company. Mr. Loderhose had a lifelong passion for music, particularly the theatre organ. He was well known for his preservation, restoration, perfor mance, and support of the instrument. The gem of his extensive collection being the 55 rank New York Paramount Studio Theatre Organ, until recently located at the family owned Bay Theatre in Seal Beach, California. In June, 2007, Mr. Loderhose gifted this magnificent instrument to The Beatitudes Campus in Phoenix, Arizona where it is being reinstalled for the enjoyment of the residents, members, congregants, staff and the entire Phoenix and theatre organ community. He was a past president and founding member of the American Theatre Organ Society. He played the organ professionally under the name Dick Scott and made numerous recordings for his own label, Renwick Recordings, Inc. as well as for United Artists Records. An avid yachtsman, Mr. Loderhose also had a great passion for World War Two Air Sea Rescue boats. He refurbished and restored numerous rescue/crash boats during his lifetime (Music Man I through VI) and was often a speaker at events sponsored by crash boat organizations throughout the country. His philanthropy included the donation of a restored 64 foot rescue boat to the Sea Scouts of Marina Del Rey, California. When Mr. Loderhose retired from the glue business in 1997 he spent most of his remaining years in Newport Beach, California attending to his yachting and musical interests. He was a member of the Balboa Bay Club, Newport Beach, California. His final years were spent in Tampa, Florida. He is at rest now knowing that whatever his passion, he succeeded. He would want everyone to know that he truly had a ball and would go out playing ''Ain't Misbehavin'' or ''Anchors Away'' if he could; and those who knew him would agree. Life was good. He dearly loved his family and friends and was grateful for the life he led. He is survived by his daughters, Rena L. Singer and her husband Joel B. Singer, Mari J. Galloway and her husband, Michael G. Galloway; six grandchildren, Beryl, Garrett and Lindsay Firestone and Robin, Adam and Shannon Galloway, his loving sister, Grace E. Kerr, and former wife, Marie Tepper. Remembered lovingly by his first wife, and lifelong friend, the late Jane D. Loderhose. Donations can be made to the American Theatre Organ Society, or the charity of your choice in his memory. Memorial service to take place at Prince of Peace Lutheran Church in Phoenix, Arizona on Saturday, April 19, 2008 at 2pm. Marsicano-B. Marion Reed-Stowers Funeral Home.",
129,http://query.nytimes.com/gst/fullpage.html?res=9806E7D9173AF931A35751C0A96E9C8B63,"Paid Notice: Deaths SEIDEN, HENRY ''HANK''","SEIDEN--Henry ''Hank'' . The Cancer Research and Treatment Fund, Inc., mourns the passing of its distinguished past President and longtime member of its Executive Committee and Board of Directors. His wisdom, advice and commitment was matched by his eloquence, spirit and generosity. We extend our sympathy to his wife Helen and his family. Richard Rose, President Richard T. Silver, M.D., Medical Director",
