,link,headline,summary,date
502,https://www.nytimes.com/video/arts/music/100000004927887/live-music-jon-batiste.html,Live Music: Jon Batiste,"Jon Batiste, the bandleader and musical director for CBS' ""The Late Show with Stephen Colbert,"" performed for The New York Times and answered online audience questions.",
78,https://www.nytimes.com/video/movies/100000004768582/patriots-day-trailer-1.html,Trailer: ‘Patriots Day’,A preview of the film.,
80,https://www.nytimes.com/video/embedded/arts/music/100000004928063/beyonces-grammy-performance.html,Beyoncé's Grammy Performance,Beyoncé sang “Love Drought” and “Sandcastles” from “Lemonade.”,
54,https://www.nytimes.com/video/us/politics/100000004817545/mccain-weighs-in-on-russian-hacking-claims.html,McCain Weighs In on Russian Hacking Claims,"""The Russians have interfered in a lot of other elections,"" Republican Senator John McCain of Arizona told CBS's ""Face the Nation"" on Sunday. ""The Russians have hacked into some of our most secret military information.""",
52,https://www.nytimes.com/video/arts/television/100000005437578/alec-baldwin-best-supporting-actor.html,"Alec Baldwin: ‘At Long Last, Mr. President, Here Is Your Emmy’","Alec Baldwin, who impersonates President Trump on “Saturday Night Live,” won best supporting actor in a comedy series.",
51,https://www.nytimes.com/video/arts/television/100000005437550/sean-spicer-makes-a-cameo-at-the-emmys.html,Sean Spicer Makes a Cameo at the Emmys,The former White House press secretary appeared on stage behind a rolling lectern.,
48,https://www.nytimes.com/video/arts/television/100000005437437/stephen-colbert-opens-2017-emmy-awards.html,Stephen Colbert Opens 2017 Emmy Awards,Stephen Colbert capped his opening monologue with an extended roast of President Donald Trump.,
45,https://www.nytimes.com/video/movies/100000004941333/trailer-dean.html,Trailer: ‘Dean’,A preview of the film.,
37,https://www.nytimes.com/video/us/politics/100000005516629/trump-the-press-makes-me-more-uncivil-than-i-am.html,Trump: ‘The Press Makes Me More Uncivil Than I Am’,"President Trump said the press creates “a different image” of who he is, and that there was “no hesitation” in his call to the widow of Sgt. La David T. Johnson, who was killed in an attack in Niger.",
34,https://www.nytimes.com/video/movies/100000005054068/trailer-american-assassin.html,Trailer: 'American Assassin',A preview of the film.,
33,https://www.nytimes.com/video/us/politics/100000005581610/michael-flynn-arrives-court-guilty-plea-hearing.html,Michael Flynn at Court for Plea Deal,"Michael Flynn, President Trump’s former national security adviser, was charged with lying to the F.B.I. about two conversations with the Russian ambassador last December.",
30,https://www.nytimes.com/video/arts/music/100000005706276/janelle-monae-makes-a-metoo-moment-at-the-grammys.html,Janelle Monáe Makes a #MeToo Moment at the Grammys,"The recording artist, producer and actress calls for an end to harassment and workplace inequality at the 2018 Grammy Awards.",
29,https://www.nytimes.com/video/arts/music/100000005706555/kesha-and-a-metoo-moment-at-the-grammys.html,Kesha’s Emotional Grammys Performance,Kesha performed “Praying” at the 2018 Grammy Awards.,
113,https://www.nytimes.com/video/us/elections/100000004758912/ryan-calls-trump-win-an-incredible-feat.html,Ryan Calls Trump Win An 'Incredible Feat',"House Speaker Paul Ryan on Wednesday called Donald J. Trump's election win ""the most incredible political feat I have seen in my lifetime.""",
737,https://www.nytimes.com/video/business/dealbook/100000004723401/att-in-talks-with-time-warner.html,AT&T in Talks With Time Warner,"“According to my sources, this thing is going to go for way north of $90 a share,” said Andrew Ross Sorkin, adding pressure on CBS and Viacom to merge.",
