,date,headline,link,summary
1903,,THE WEEK AHEAD: Feb. 18 - 24; THEATER,http://query.nytimes.com/gst/fullpage.html?res=9C00EEDA163EF93BA25751C0A9619C8B63,"At times it can seem as if every working solo performer is imitating either SPALDING GRAY or ERIC BOGOSIAN. These artists, who were once the epitome of downtown cool, helped invent the monologue for a generation of writer-actors who have gone on, of course, to beat the form to death. As he got older, Mr. Gray graduated from the Wooster Group to performances uptown, where he dug deeper and deeper into his personal life, and questions of fame and depression, until his suicide in 2004. Mr. Bogosian has generally moved beyond his monologues, which once made Frank Rich of The Times compare him to Lenny Bruce, Bob Dylan and Woody Allen, all in the same sentence. He has kept a lower profile and branched out into novels and Hollywood movies. In the past year there has been a revival of interest in both Mr. Bogosian and Mr. Gray, and this week you can see some of their formative work. LIEV SCHREIBER stars in one of Mr. Bogosian's breakout works, ''TALK RADIO,'' a drama about a fear monger who makes Bill O'Reilly and Howard Stern look polite. The play, which had its premiere at the Public in 1987, was the first time that audiences saw Mr. Bogosian expand past the monologue. In previews; opens on March 11, Longacre Theater, 220 West 48th Street, Manhattan; $36.25 to $96.26. Mr. Gray has been receiving numerous tributes onstage, and Steven Soderbergh is working on a documentary about his life. But ''SPALDING GRAY: STORIES LEFT TO TELL'' is the first play with his widow, Kathleen Russo, as a co-creator (Lucy Sexton was the other creator). It is a collection of his most famous and obscure writings. The cast includes Frank Wood and Hazelle Goodman. Previews start Tuesday; opens March 6, Minetta Lane Theater, 18 Minetta Lane, Greenwich Village; $35 and $65. Julian Sheppard's last play, ''Buicks,'' about a deluded car salesman on the run, opened in 2003 and was one of the fresher new comedies in years, so it's not surprising that it was optioned by Paramount Pictures as a sitcom for CBS. Meanwhile Mr. Sheppard brings us ''LOS ANGELES,'' about a young woman struggling in the city of angels. Katherine Waterston stars, and Adam Rapp directs. In previews, opens March 3, Flea Theater, 41 White Street, Lower Manhattan, (212) 352-3101, theflea.org; $20."
1844,,Square Feet; TRANSACTIONS,http://query.nytimes.com/gst/fullpage.html?res=9C06EEDE1531F930A25751C1A9609C8B63,"Recent Sale $11.5 million 322-326 Grand Street, 68 Orchard Street, 65 Ludlow Street Manhattan A real estate investment group has bought this Lower East Side mixed-use site of three two-story commercial buildings next to two five-story residential properties offering at least 20,000 square feet in air rights. Buyer: Triangle West Seller: 324 Grand Realty Broker: Brian Ezratty and Barry Berkowitz, Eastern Consolidated Recent Lease $55/sq. ft. $700,000 approximate annual rent New York Life Building 51 Madison Avenue (between 26th and 27th Streets) Manhattan A foundation has taken the entire 30th floor, totaling 12,729 square feet, in this 40-story 1928 city landmark designed by Cass Gilbert. Tenant: Henry Luce Foundation Tenant broker: John Nugent, CB Richard Ellis Landlord: New York Life Insurance Co. Landlord brokers: Paul Glickman and Diana Biasotti, Cushman & Wakefield For Sale $2.6 million Horne Building 127 West 24th Street Manhattan A 5,000-square-foot vacant commercial co-op, occupying the entire fourth floor, is available in this 1897 Chelsea loft building. Owner: SML-USA Broker: Mark Oleszek, Signature Partners"
1836,,TODAY IN BUSINESS,http://query.nytimes.com/gst/fullpage.html?res=9D00EFDE113FF935A35752C1A9609C8B63,"DEMOCRATS AND MEDICARE -- Democrats, who have long charged that the drug industry is profiteering at taxpayers' expense, say they want to introduce legislation to revoke the law that bars Medicare from negotiating prices directly with drug makers for the medicines it buys. [C1.] WEB ACCESS FOR THE BLIND -- Although commercial Web sites have made considerable strides in serving the blind, there are still major difficulties on both sides of the screen. ''Web sites are more useful than they used to be, but there are still a few more hurdles than you'd like to have to go through,'' said James Gashel, above, an executive director for the National Federation of the Blind, which is based in Baltimore. Bob Tedeschi: E-Commerce Report. [C6.] GOOGLE AND PRINT ADS -- Google is planning to start selling advertisements that will appear in the print editions of 50 major newspapers. The company will expand its computer system, which already auctions off advertisements on millions of Web sites, to take bids for newspaper ads as well. [C1.] PUTTING THE SQUEEZE ON TALENT -- Movie and television studios, which are facing escalating budgets, rampant piracy and the uncertain future of new media, are demanding concessions from their talent. And actors, directors and writers are not happy about it. [C1.] EYES ON VIVENDI -- Is Vivendi in play? That was the question being whispered among the world's media moguls over the weekend after it emerged that Vivendi had held talks with Kohlberg Kravis Roberts & Company over a potential $50 billion takeover bid, which would have been the largest leveraged buyout offer in history. [C1.] ONLINE HIRE AT CBS -- In an effort to expand into the online world, CBS Inc. said it had hired Quincy Smith, formerly of Allen and Company, to oversee its interactive strategy. [C6.] NEW VIEWS ON ADVERTISING -- A widely followed annual survey of the relationships between advertisers and agencies shows some improvement from last year's results, many of which reached record 20-year lows. Even so, the survey suggests that Madison Avenue is still struggling to adjust to profound new challenges, which range from adjusting to the rapid rise of new media to the difficulty of recruiting talented employees. [C8.] ADVERTISING SHIFT IN FRANCE -- A round of musical chairs that is reshaping the upper ranks of the French advertising world continued last week when Maurice Lévy, chief executive of Publicis Groupe, named three executives to key positions in Paris. [C7.] THE MEDICATED PENGUIN -- An animated movie about a tap-dancing penguin is venturing beyond the Antarctic, with a promotional tie-in to pharmaceuticals. Characters from the family film ''Happy Feet'' appear in an extensive advertising campaign -- including national network and cable commercials, full-page magazine ads and online banner ads -- for the drug maker Roche. [C4.] THE CULTURE OF VIDEO GAMES -- The French culture minister, Renaud Donnedieu de Vabres, is seeking to have video games recognized as a cultural industry eligible for tax breaks, similar to those that movie-related business receive. [C6.]"
1835,,TRANSACTIONS,http://query.nytimes.com/gst/fullpage.html?res=9D00E5D81F3EF932A35750C0A9619C8B63,"MAJOR LEAGUE BASEBALL American League CLEVELAND INDIANS--Agreed to terms with RHP Fernando Cabrera, OF Shin-Soo Choo, OF Ben Francisco, OF Franklin Gutierrez, INF Joe Inglett, LHP Juan Lara, INF Andy Marte, RHP Edward Mujica and C Kelly Shoppach on one-year contracts. National League ATLANTA BRAVES--Agreed to terms with RHP Manny Acosta, RHP Tyler Yates, C Brian McCann, C Brayan Pena, OF Gregor Blanco, OF T.J. Bohn, OF Matt Diaz, OF Ryan Langerhans, INF Pete Orr and INF Scott Thorman on one-year contracts. HOUSTON ASTROS--Agreed to terms with C Hector Gimenez, C Humberto Quintero, LHP Wandy Rodriguez and RHP Chris Sampson on one-year contracts. BASKETBALL N.B.A. LOS ANGELES CLIPPERS--Signed G Will Conroy to a 10-day contract. Waived G Von Wafer. WASHINGTON WIZARDS--Signed F Mike Hall to a 10-day contract. Women's N.B.A. WASHINGTON MYSTICS--Re-signed C Chasity Melvin. FOOTBALL N.F.L. BALTIMORE RAVENS--Waived RB Jamal Lewis. BUFFALO BILLS--Re-signed RB Shaud Williams. Tendered contract offers to DL Anthony Hargrove and DL Tim Anderson. CAROLINA PANTHERS--Announced the retirement of TE Kris Mangum. CINCINNATI BENGALS--Released LB Brian Simmons. Tender contract offers to P Kyle Larson, G Stacy Andrews, CB Greg Brooks, LB Landon Johnson, LB Caleb Miller and DT Shaun Smith. DALLAS COWBOYS -- Re-signed P Mat McBriar to a five-year contract. DETROIT LIONS--Released G Ross Verba. HOUSTON TEXANS--Released WR Eric Moulds, DT Seth Payne and OL Zach Weigert. NEW ORLEANS SAINTS -- Signed TE Billy Miller to a one-year contract. PITTSBURGH STEELERS--Signed DE Aaron Smith to a four-year contract extension through the 2011 season. SAN FRANCISCO 49ERS -- Named Jim Hostler offensive coordinator. TENNESSEE TITANS--Named Vincent Marino senior director of football administration. WASHINGTON REDSKINS--Re-signed OL Mike Pucillo. Released TE Christian Fauria. HOCKEY N.H.L. COLUMBUS BLUE JACKETS -- Recalled F Zenon Konopka from Syracuse of the AHL. LOS ANGELES KINGS--Recalled F Shay Stephenson from Manchester of the AHL. COLLEGE OKLAHOMA STATE--Suspended F-C Mario Boggan from the men's basketball team for one game for a head-butting incident in a Feb. 27 game against Kansas State."
1833,,KEY MATCHUPS,http://query.nytimes.com/gst/fullpage.html?res=9902E0DD1331F934A25751C1A9609C8B63,"Jets (7-6) at Minnesota Vikings (6-7) 1 p.m. CBS CHAD PENNINGTON vs. VIKINGS' PASS DEFENSE The Vikings have given up an average of 28.2 yards rushing and 260.6 yards passing in their past five games. Matt Leinart of the Arizona Cardinals and Brett Favre of the Green Bay Packers each threw for more than 300 yards against them, mainly because their teams could not run on the league's top-ranked rushing defense. Jets Coach Eric Mangini said he would not abandon the running game. ''I think you have to be able to incorporate both,'' he said. ''During the course of the game, sometimes you throw more, sometimes you run more. Sometimes it's about the flow of the game.'' For the Jets, it always comes down to Chad Pennington, above. In their past three victories, he has averaged 239 yards passing. In their past three losses, he has averaged 151 through the air. BY THE NUMBERS 1 Rank of the Vikings' rush defense in the N.F.L. 703 Total rushing yards allowed by the Vikings this season. 54.1 Average net rushing yards allowed by Minnesota. 28.2 Average net rushing yards allowed last five games by the Vikings. 10 First downs rushing allowed by the Vikings in their last five games. KAREN CROUSE"
1828,,BUSINESS BRIEFS,http://query.nytimes.com/gst/fullpage.html?res=9F02E4D91E3EF934A15756C0A9609C8B63,"SIRIUS SATELLITE RADIO will pay the CBS Corporation $2 million as part of a settlement of a $218 million lawsuit asserting fraud over the talk-show host Howard Stern's jump to Sirius in January. Sirius will get rights to the recordings of Mr. Stern's CBS Radio broadcasts in return for the payment, the companies said. The companies said remaining terms of the agreement, including additional payments to settle a lawsuit against Mr. Stern, are confidential. The agreement ends a four-month battle that was ignited by Mr. Stern's move from CBS to Sirius. CBS Radio, which accused Stern of using its airtime to promote Sirius before he left last year, sued Sirius, Stern and his agent in February."
1825,,"Arts, Briefly; A Good 'Deal' for NBC",http://query.nytimes.com/gst/fullpage.html?res=9C0CE7D9173EF936A25752C1A9609C8B63,"With solid ratings for its hit game show as well as its new science-fiction series, NBC handily led Monday in the important demographic of 18 to 49 years old. According to Nielsen's estimates, ''Deal or No Deal,'' with the host Howie Mandel, right, earned 18 million viewers at 8 p.m., while ''Heroes'' drew a series-best 15 million viewers at 9, finishing just short of its record one week ago in the 18-to-49 group. Meanwhile, CBS edged out NBC to win the night in total viewers, as ''CSI: Miami'' drew 18.4 million viewers, a season high of its own, easily capturing the 10 p.m. hour. In second at 10, NBC's ''Studio 60 on the Sunset Strip'' fared about average with recent weeks (7.8 million) as it concluded a two-part story line with John Goodman playing a judge. Fox ranked ahead of ABC in third for the night, buoyed by a second-place finish at 8 p.m. for ''Prison Break'' (9.2 million). BENJAMIN TOFF"
1819,,WHAT'S ON TONIGHT,http://query.nytimes.com/gst/fullpage.html?res=9F06E5DC133FF931A35752C1A9609C8B63,"9 P.M. (Sundance) ICONOCLASTS -- Though their fields are leaps and bounds apart, there's no denying that the dancer Mikhail Baryshnikov and the chef Alice Waters are artists in their own rights. Tonight, Mr. Baryshnikov and Ms. Waters trade philosophies on art, food, teaching and community as they visit the Baryshnikov Arts Center in Manhattan and the Edible Schoolyard Project (above) in Berkeley, Ca., and share a meal at Ms.Waters's restaurant Chez Panisse. 4 P.M. (NBC) THE ELLEN DEGENERES SHOW -- Pretty women: Salma Hayek, who brought ''Ugly Betty'' to the United States, is the guest; Janet Jackson performs. 8 P.M. (NBC) MY NAME IS EARL -- Tonight, Roseanne Barr, in a guest role as a formerly shrewish trailer park manager, thinks she's talking to God. But the voice belongs to Earl (Jason Lee). Meanwhile Joy (Jaime Pressly) tries to get a restraining order lifted to improve her image before heading to court. 8 P.M. (ABC) UGLY BETTY -- Salma Hayek, the show's executive producer, begins a guest stint as a mysterious beauty who leaves Daniel panting. 8 P.M. (11) SMALLVILLE -- The rapper Bow Wow makes a guest appearance as an escaped killer from the Phantom Zone, who takes on Clark and Raya as revenge for his imprisonment. 9 P.M. (CBS) CSI: CRIME SCENE INVESTIGATION -- Grissom (William Petersen) asks a sex offender for help in catching the abductor of two boys, but what he's really looking for is a confession. 9 P.M. (HBO) HACKING DEMOCRACY -- Forget hanging chads. This documentary looks at some of the gaping holes in America's electronic voting system, which counts about 87 percent of the votes cast in the country today, and asks how safe democracy can be when the voting process is not secure. 9 P.M. (ABC) GREY'S ANATOMY -- Cristina helps put a patient back together again in a rare ''humpty dumpty'' procedure. 9 P.M. (Travel) JOAN CUSACK'S LOCAL FLAVOR -- Ms. Cusack goes to Greece. 9:30 P.M. (Speed) CAR CRAZY -- John Lasseter, the animator and creative leader of Pixar and Disney Feature Animation, talks about his love affair with automobiles. 10 P.M. (CBS) SHARK -- Fashion victims: Sebastian's (James Woods) team prosecutes a major corporation on behalf of those killed in a sweatshop fire. 10:30 P.M. (MTV) ROB AND BIG -- All the world's a skateboard ramp in this new reality buddy comedy, in which Rob Dyrdek (left), a professional street skater, and Christopher Boykin, his best friend and bodyguard, share a house in the Hollywood Hills with their bulldog, Meaty, and look for adventure on the road. KATHRYN SHATTUCK"
1818,,"Arts, Briefly",http://query.nytimes.com/gst/fullpage.html?res=9B0DE4DF1031F933A15751C1A9609C8B63,"Architects Honor Vietnam Memorial Maya Lin's Vietnam Veterans Memorial, above, in Washington has been chosen by the American Institute of Architects to receive its 2007 AIA Twenty-Five Year Award. The accolade honors architectural design that has stood the test of time for 25 years. ''The memorial speaks to the power of design and resonates with all of us,'' said Richard Logan, the chairman of the association's 2007 Architecture Jury. ''It creates a magical moment of the living and the dead touching, and it is still as potent as the first time you saw it.'' The two-acre memorial on the National Mall was dedicated on Nov. 13, 1982, after having been chosen from among 1,421 entries in a public design competition held by the Vietnam Veterans Memorial Fund. Its principal feature is its highly reflective black-granite V-shaped Memorial Wall, inscribed with the names of more than 58,000 men and woman who died or were classified as missing in action. Angry Rockers Sue Web Site Major names in rock 'n' roll are suing the owner of a Web site that specializes in streaming rare concert recordings, Reuters reported. Grateful Dead Productions, Carlos Santana, right, and members of Led Zeppelin and the Doors filed suit in United States District Court in San Francisco against William Sagan, owner of Wolfgang's Vault, which offers thousands of recordings of rare audio and video music performances collected over 30 years by Bill Graham, a concert promoter who died in 1991. The plaintiffs argue that Wolfgang's Vault (wolfgangsvault.com), which bought the Graham collection, is illegally offering the recordings to stimulate sales of other merchandise, including T-shirts, photographs and memorabilia. Its representatives were not immediately available for comment. Joan Baez, Booker T. & the MG's, Maria Callas, Ornette Coleman, the Doors, the Grateful Dead and Bob Wills have been chosen to receive the Recording Academy Lifetime Achievement Awards. These honors will be acknowledged during the 49th Grammy Awards telecast by CBS from Los Angeles on Feb. 11. After Two Centuries, A Goya Goes Public A Goya portrait never displayed in public is to be exhibited in the spring in Saragossa, Spain, after minor restoration at the Prado in Madrid, Agence France-Presse reported. ''Portrait of Luis María de Borbón y Vallabriga,'' right, depicting the cherubic 6-year-old nephew of King Charles III, was painted in 1783, when Goya was 37. The boy grew up to become a cardinal at the age of 23 and put an end to the Spanish Inquisition. The painting was recently acquired by authorities in Aragon, in northeastern Spain, for $13 million, from a branch of the royal family that has had it for 223 years. ''It is one of the masterpieces of the period,'' Gabriele Finaldi, in charge of conservation at the Prado, told The Guardian of London. ''There is a certain amount of superficial dirt. Otherwise it is in an almost virgin state.'' It is to go on view in the spring at the provincial museum in Saragossa, near Goya's birthplace, Fuendetodos. Going Back to the Village AMC is going to ask again: What is the explanation for the mysterious Village? In a new venture into old television territory, the cable channel AMC plans to remake the Kafkaesque thriller ''The Prisoner,'' which starred Patrick McGoohan, its creator, producer and sometime writer, when it was broadcast by CBS in the late 1960s, Reuters reported. The story follows a man who finds himself trapped in ''the Village'' with no memory of how he arrived. Under constant surveillance, the man, known as Number Six, sets out to learn what is going on, why he is there and how he can escape. The premiere is scheduled for January 2008. Rob Sorcher, AMC's executive vice president for programming and production, said the channel had also acquired the rights to the original ''Prisoner'' and planned to broadcast those episodes around the time the new series begins. TBS has ordered nine more episodes of its critically acclaimed series ''My Boys,'' starring Jordana Spiro as a sportswriter who is one of the guys. TBS announced that the episodes would be broadcast in the summer."
1817,,WHAT'S ON TONIGHT,http://query.nytimes.com/gst/fullpage.html?res=9C00E3D7123FF932A35752C1A9609C8B63,"9 P.M. (Biography) MAVERICKS: HONKY TONK ANGELS -- Their voices are sweet, their tales are not. This special looks at some of country music's feistiest women, including Patsy Cline (left), Loretta Lynn and Shania Twain, who bucked rules and roadblocks on the way to success. Ray Charles, Judy Collins, Robert Duvall, Kris Kristofferson, k.d. lang, Dolly Parton, Carl Perkins, Randy Travis, Conway Twitty and Trisha Yearwood reminisce in archival interviews about the legends left in their wakes. 8 P.M. (CBS) JERICHO -- Gray Anderson, just back from his explorations, gives a report on the state of the union. 8 P.M. (NBC) 30 ROCK -- Liz fights to keep Jack out of the writers' room and Cerie in her clothes. Meanwhile, Kenneth discovers that dealing with Tracy Jordon is a bigger job than he bargained for. 8 P.M. (11) AMERICA'S NEXT TOP MODEL -- As they say, beauty knows no pain. Tonight, a look back at the torture the remaining contestants have endured. 8 P.M. (Food Network) EMERIL LIVE -- The Soweto Gospel Choir helps Mr. Lagasse raise on the rafters on his studio kitchen. 8:30 P.M. (NBC) TWENTY GOOD YEARS -- When Jeffrey (Jeffrey Tambor) rekindles the flame with his ex (Judith Light), John (John Lithgow) fears she'll put a damper on his plans for adventure with his buddy. 9 P.M. (Fox) THE RICH LIST -- At last, a pastime for the obsessive-compulsives out there. In this new game show, strangers are thrown together at random to compete in making lists on a range of topics, all while predicting just how many answers they'll be able to come up with. If a team fails to meet that number, the other team wins. Eamonn Holmes (above) is host. 9 P.M. (CNBC) BIG BROTHER, BIG BUSINESS -- Who's watching? Almost everyone, that's who. In this two-hour documentary, David Farber investigates the ways in which average Americans are monitored -- whether shopping, driving, dining or searching the Internet -- and how spying has become a lucrative game while encroaching on ordinary lives. 10 P.M. (CBS) CSI: NY -- Dr. Sheldon Hawkes (Hill Harper) and Mac (Gary Sinise, near left, with Mr. Harper) investigate a woman who died after bleeding from her eyes, mouth and ears at a secret party on a subway train. Meanwhile, when a wealthy playboy winds up dead in his indoor pool, all eyes turn to his ''room maid,'' a beautiful woman hired to clean his penthouse in exchange for room and board. This one happened to be wearing a wig to suit his preference for blondes. KATHRYN SHATTUCK"
