,link,headline,summary,date
314,https://www.nytimes.com/Link.asp?I=LS000142185527,"Paid Notice: Deaths MARTIN, MICHAEL","<!-- MICHAEL MARTIN --><IMG SRC=""/Images/Cobrands/NYTimes/Photos/NYT-1000221733-MIMARTIN.1_012714.jpg"" lgyOrigName=""NYT-1000221733-MIMARTIN.1.jpg"" ALIGN=""LEFT"" vspace=""4"" hspace=""10"">MARTIN--Michael Townsend, 68, of New York, NY and Longboat Key, FL died April 17, 2010 at home in New York City surrounded by family, after a courageous three year battle with cancer. He was born on November 21, 1941 in New York City to Townsend B. Martin, a founding owner of the New York Jets, and Georgia Shanton who passed away when he was five years old. His stepmother was Irene R. Martin. Michael was the great-grandson of Henry Phipps, a business partner of Andrew Carnegie. The Phipps' family business continues today as Bessemer Trust. He attended Rumson Country Day, Choate, and Rutgers. After serving in the US Navy, Michael became the Assistant General Manager of the NY Jets. While there, the Jets won the Super Bowl in 1969. In 1974, he was named Vice President and Director of Football Operations of the World Football League. At age 34, Michael became the youngest general manager in professional sports when appointed Vice President and general manager of the NY Cosmos of the North American Soccer League. Under his leadership, the Cosmos won NASL crowns in 1977 and 1980. He was a consultant to international sports marketing companies and founded his own business, SportsMark Inc. in 1990. Owner of Michael T. Martin Racing Stable, Michael served on the board of the NY Thoroughbred Horsemen's Association (President, 1994-1997). Michael devoted time and resources to numerous non-profit organizations including Mote Marine Laboratory, The Ringling College of Art and Design, Lemur Conservation Foundation, The Marine Biological Laboratory/Woods Hole, PBS, Phipps Houses, Old Westbury Gardens, The Big Apple Circus, Very Special Arts, NY Special Olympics, Morris Animal Foundation, National Lighthouse Museum, and Juilliard, Choate, and Pennington schools. Michael is survived by Jean Meyer, his wife of thirty years; brother, Alan of Lawrence, KS; son, Ryan and daughter-in-law Maureen, of Butler, PA; son, Christopher of Aurora, IL; stepdaughter, Kathleen Hunt and son-in-law Peter of Chattanooga, TN. Michael, his first wife, Jennifer Johnston Theobald, and Jean were childhood friends. Michael had seven grandchildren, Brandon and Caitlyn Martin, Justin and Margaret Martin, and Mac, Will, and Jack Hunt. The memorial service will be held at St. Bart's Episcopal Church, New York City on Saturday, May 22 at 11am. In lieu of flowers, contributions can be made to Mote Marine Laboratory, 1600 Ken Thompson Parkway, Sarasota, FL 34236, Ringling College of Art and Design, 2700 No. Tamiami Trail, Sarasota, FL 34234, and Lemur Conservation Foundation, Myakka City Lemur Reserve, P.O. Box 249, Myakka City, FL 34251.<br><br>",
1357,http://query.nytimes.com/gst/fullpage.html?res=9B03E0D71438F937A25751C1A96F9C8B63,Did Goldman Pay Too High a Price?,"Goldman Sachs seems to have uncharacteristically misjudged a market. The security in question is 10-year warrants linked to the government's rescue of banks. The Treasury received what are effectively options to buy stock when it invested in the banks at the nadir of the crisis; now, they are being sold. Having repaid funds from the Troubled Asset Relief Program, some firms are buying back their warrants, too. Goldman paid Treasury's $1.1 billion asking price. Others opted for Treasury to sell them to the highest bidder. Two recent auctions imply that Goldman, for one, overpaid.",
401,https://www.nytimes.com/Link.asp?I=LS000136695177,"Paid Notice: Deaths JOSEPH, FREDERICK H.","<!-- FREDERICK H JOSEPH -->JOSEPH--Frederick H., of New York City and Andover, MA died on November 27, 2009. Born in Boston, MA in 1937, he was the son of Sara Mostowitz Joseph and the late Edward Morris Joseph. Mr. Joseph received an A.B. from Harvard College in 1959, and subsequently served as an ensign aboard the minesweeper USS Exultant, where he received a letter of commendation for devotion to duty for fighting a fire aboard ship. Upon graduating from Harvard Business School with an M.B.A. in 1963, Mr. Joseph began his career at E.F. Hutton in corporate finance, where he was trained by his friend and mentor John Shad. He joined Shearson Hammill's corporate finance department in 1970, and in 1973, was promoted to Chief Operating Officer. Mr. Joseph joined Drexel Burnham Lambert in 1974 to co-manage the company's corporate finance department, and became Chief Executive Officer in May 1985. Drexel is credited with the commercialization of the high yield bond market, having underwritten more than 1500 issues and raising more than $158 billion from 1978 through 1989. This included many financings of less than $100 million, some of which funded entrepreneurial venture capitalists including Steve Wynn, T. Boone Pickens, and Ted Turner. From January 1994 until May 1998, Mr. Joseph was Chairman of Clovebrook Capital Corp., a boutique investment banking firm. From May 1998 until April 2001, he was a Senior Advisor and Managing Director of ING Barings LLC. Mr. Joseph returned to focus on middle market companies with Morgan Lewis Githens & Ahn, Inc., which was renamed Morgan Joseph & Co. Inc. in October 2002. Morgan Joseph since has developed into a company of more than 140 employees, which has completed more than $29 billion in transactions, including more than 140 M&A transactions and 90 financings. Mr. Joseph was a passionate outdoorsman and hobbyist. Hunting, farming, and horseback riding were an integral part of his life. He traveled through much of the US and Canada on hunting trips, frequently accompanied by friends, sons-in-law and grandchildren. His trophies included a Pope and Young-rated black bear and a Pope and Young rated atypical white-tailed deer. He also participated in numerous Outward Bound and NOLS exploration courses, including one to Africa with his son, Mark, and one to Mexico with his daughter, Tommi Beth, and her husband, Mike. He was often found working in his home blacksmith forge, where he designed and forged his own tools. He is survived by his wife, Linn Anderson of Andover, MA and her son Andrew Prezkop of Washington, DC; his children: Lisa and Bill Schultz of Summit, NJ; Melinda Burke of Brooklyn, NY; Amy and Jon Humphreys of Summit, NJ; Tommi Beth and Mike McHugh of Denver, CO; and Mark and Starry Joseph of Gloucester, MA; and his former wife, Susan Joseph of New Vernon, NJ. He was the beloved grandfather of Billy and Krissy Schultz, Charlotte and Daniel Burke, Molly and Olivia Humphreys and Lucy McHugh. He is also survived by his brother Stephen Joseph and wife Angelique Craney of Chester, CT and New York City; his sister Michelle Joseph Morris and husband Chris of Williamsburg, MA; his mother, Sara Joseph, as well as numerous nieces and nephews. Mr. Joseph was a member of the Board of Directors of several companies, a Trustee of WNET/Channel Thirteen, and a Director of the Multiple Myeloma Research Foundation. He also served as Vice Chairman of the Partners of '63, a group of Harvard Business School classmates dedicated to improving public education in this country. In lieu of flowers, contributions may be made to the Multiple Myeloma Research Foundation, Dana Farber Cancer Institute or the charity of your choice. Private interment at West Parish Cemetery in Andover MA. A memorial service will be held in New York City for family and friends. For details on the memorial service please call Morgan Joseph & Co. Inc. 212-218-3700.<br><br>",
115,http://query.nytimes.com/gst/fullpage.html?res=9B03E2D81F3FF934A3575BC0A9669D8B63,E.T.F. Access At a Low Cost,"Want to build an inexpensive investment portfolio? Now you have access to supercheap building blocks, as well as easy instructions.",
1365,http://query.nytimes.com/gst/fullpage.html?res=9D03E3DB113BF936A25751C0A9669D8B63,"Barbie's New Job, Computer Engineer","Barbie has come a long way since 1992, when the blond bombshell of a doll was programmed to say ''Math class is tough.'' Her various careers have taken Barbie from aerobics instructor to supermodel to business executive. Her next will be a computer engineer, an occupation chosen for her by half a million Barbie fans.",
387,http://query.nytimes.com/gst/fullpage.html?res=9E05E6DD1338F933A1575AC0A96F9C8B63,"John T. Elson, Author of 'Is God Dead?,' Dies at 78","All journalists want to write a story that makes a big splash. John T. Elson, the religion editor at Time magazine, was no exception. But in 1966 he got more than he bargained for. For more than a year, Mr. Elson had labored over an article examining radical new approaches to thinking about God that were gaining currency in seminaries and universities and spilling over to the public at large.",
2209,http://query.nytimes.com/gst/fullpage.html?res=9B00E3D81338F93AA15752C1A96F9C8B63,"Another Week, Another Westin","The hotel industry may be suffering, but you wouldn't know it by looking at the lineup of new Westin Hotels. The upscale hotel chain plans to open about one hotel a week for the rest of the year. Westin, which is owned by Starwood Hotels & Resorts, is opening six hotels this month and next, including the Westin Washington Dulles Airport and Westin Lake Mary in Orlando, Fla. The remaining four are abroad, including the Westin Pune Koregaon Park, in Pune, India, above.",
1519,http://query.nytimes.com/gst/fullpage.html?res=9402E4DE1F3CF934A25751C1A96F9C8B63,App of the Week: Google's Eyes on the Ground,"GoogleGoggles is a new free app for smartphones using the Android operating system. With its grab bag of features, the app is a bit hard to define. Goggles uses a phone's camera for data entry, Web searching and shopping, with a little bit of augmented reality thrown in. Here's how it works. You use your phone to take a photo of a building, artwork, a bar code or some text and Goggles identifies it and brings back Google search results. A photo of a book cover brought back links to where the book is sold online, reviews, a Wikipedia entry on the author and more. A picture of the exterior of a restaurant brings back reviews, links to the restaurant's Web site and a link to call the place with one click.",
1544,http://query.nytimes.com/gst/fullpage.html?res=9A04E0D71F31F934A35756C0A9669D8B63,Saudi Gets Prison for Selling Phony Goods to the Military,"HOUSTON -- A Saudi man was sentenced Thursday to four years in prison for selling counterfeit computer parts to the Marine Corps for use in Iraq and Afghanistan. The sentencing of the Saudi, Ehab Ashoor, 48, who lived in Sugar Land, Tex., was part of a broader federal crackdown on shady businesses that supply shoddy computer goods to the military and federal agencies.",
405,http://query.nytimes.com/gst/fullpage.html?res=9D0DE1DE143AF933A05752C1A96F9C8B63,"Paid Notice: Deaths JOSEPH, FREDERICK H.","JOSEPH--Frederick H.,of New York City and Andover, MA died on November 27, 2009. Born in Boston, MA in 1937, he was the son of Sara Mostowitz Joseph and the late Edward Morris Joseph. Mr. Joseph received an A.B. from Harvard College in 1959, and subsequently served as an ensign aboard the minesweeper USS Exultant, where he received a letter of commendation for devotion to duty for fighting a fire aboard ship. Upon graduating from Harvard Business School with an M.B.A. in 1963, Mr. Joseph began his career at E.F. Hutton in corporate finance, where he was trained by his friend and mentor John Shad. He joined Shearson Hammill's corporate finance department in 1970, and in 1973, was promoted to Chief Operating Officer. Mr. Joseph joined Drexel Burnham Lambert in 1974 to co-manage the company's corporate finance department, and became Chief Executive Officer in May 1985. Drexel is credited with the commercialization of the high yield bond market, having underwritten more than 1500 issues and raising more than $158 billion from 1978 through 1989. This included many financings of less than $100 million, some of which funded entrepreneurial venture capitalists including Steve Wynn, T. Boone Pickens, and Ted Turner. From January 1994 until May 1998, Mr. Joseph was Chairman of Clovebrook Capital Corp., a boutique investment banking firm. From May 1998 until April 2001, he was a Senior Advisor and Managing Director of ING Barings LLC. Mr. Joseph returned to focus on middle market companies with Morgan Lewis Githens & Ahn, Inc., which was renamed Morgan Joseph & Co. Inc. in October 2002. Morgan Joseph since has developed into a company of more than 140 employees, which has completed more than $29 billion in transactions, including more than 140 M&A transactions and 90 financings. Mr. Joseph was a passionate outdoorsman and hobbyist. Hunting, farming, and horseback riding were an integral part of his life. He traveled through much of the US and Canada on hunting trips, frequently accompanied by friends, sons-in-law and grandchildren. His trophies included a Pope and Young-rated black bear and a Pope and Young rated atypical white-tailed deer. He also participated in numerous Outward Bound and NOLS exploration courses, including one to Africa with his son, Mark, and one to Mexico with his daughter, Tommi Beth, and her husband, Mike. He was often found working in his home blacksmith forge, where he designed and forged his own tools. He is survived by his wife, Linn Anderson of Andover, MA and her son Andrew Prezkop of Washington, DC; his children: Lisa and Bill Schultz of Summit, NJ; Melinda Burke of Brooklyn, NY; Amy and Jon Humphreys of Summit, NJ; Tommi Beth and Mike McHugh of Denver, CO; and Mark and Starry Joseph of Gloucester, MA; and his former wife, Susan Joseph of New Vernon, NJ. He was the beloved grandfather of Billy and Krissy Schultz, Charlotte and Daniel Burke, Molly and Olivia Humphreys and Lucy McHugh. He is also survived by his brother Stephen Joseph and wife Angelique Craney of Chester, CT and New York City; his sister Michelle Joseph Morris and husband Chris of Williamsburg, MA; his mother, Sara Joseph, as well as numerous nieces and nephews. Mr. Joseph was a member of the Board of Directors of several companies, a Trustee of WNET/Channel Thirteen, and a Director of the Multiple Myeloma Research Foundation. He also served as Vice Chairman of the Partners of '63, a group of Harvard Business School classmates dedicated to improving public education in this country. In lieu of flowers, contributions may be made to the Multiple Myeloma Research Foundation, Dana Farber Cancer Institute or the charity of your choice. Private interment at West Parish Cemetery in Andover MA. A memorial service will be held in New York City for family and friends. For details on the memorial service please call Morgan Joseph & Co. Inc. 212-218-3700.",
